AO-ID_ID-OA,DFRP-property-nbr_No-bien-RBIF,Property-name_Nom-du-bien_eng,Property-name_Nom-du-bien_fra,DFRP-structure-nbr_No-structure-RBIF,Structure-name_Nom-du-structure_eng,Structure-name_Nom-du-structure_fra,Interest-type_Type-de-propriete_eng,Interest-type_Type-de-propriete_fra,Year-built_Annee-de-construction,Heritage-code_Code-du-patrimoine,Heritage-designation_Designation-patrimoniale_eng,Heritage-designation_Designation-patrimoniale_fra,Region_eng,Region_fra,Structure-address_Adresse-du-structure_eng,Structure-address_Adresse-du-structure_fra,City_Ville,Province-code_Code-de-province,Province-territory_Province-territoire_eng,Province-territory_Province-territoire_fra,Postal-code_Code-postal,Assessment-fscl-yr_Ex-evaluation,Compliance-standard-applied_Norme-de-conformite-appliquee,Accessibility-score_Score-accessibilite
P200013-101-20000327,03710,"GC Site - Sydney Campus","Site GC - Campus de Sydney",003710,"GC Building - Sydney","Édifice GC - Sydney",Crown-owned,"Propriété de l'État",1962,500,"Not designated","Non désigné",ATL,ATL,"49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",2020-2021,B651-18,68
P200015-101-20000331,03711,"GC Site - Sydney","Site GC - Sydney",003711,"GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney",Crown-owned,"Propriété de l'État",1957,500,"Not designated","Non désigné",ATL,ATL,"308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",2020-2021,B651-18,69
P200018-101-20000336,03710,"GC Site - Sydney Campus","Site GC - Campus de Sydney",103056,"GC Building - Sydney Arts Building","Édifice GC - Édifice des Arts de Sydney",Crown-owned,"Propriété de l'État",1959,100,"Not applicable","N'est pas applicable",ATL,ATL,"196 George Street","196, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",2023-2024,B651-18,79
P200019-101-20000337,03710,"GC Site - Sydney Campus","Site GC - Campus de Sydney",103057,"GC Building - Sydney Science Building","Édifice GC - Édifice des Sciences de Sydney",Crown-owned,"Propriété de l'État",1966,300,Recognized,Reconnu,ATL,ATL,"210 George Street","210, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",2020-2021,B651-18,77
P200021-101-20000340,03207,"Enos Collins Site","Site Enos-Collins",003207,"Enos Collins Building","Édifice Enos-Collins",Crown-owned,"Propriété de l'État",1975,400,Pending,"En attente",ATL,ATL,"38-40 Havelock Street","38-40, rue Havelock",Amherst,NS,"Nova Scotia",Nouvelle-Écosse,"B4H 4C3",2019-2020,B651-18,80
P200027-101-20000353,18665,"GC Site - Yarmouth","Site GC - Yarmouth",018665,"Post Office Yarmouth","Bureau de poste Yarmouth",Crown-owned,"Propriété de l'État",1954,100,"Not applicable","N'est pas applicable",ATL,ATL,"15 Willow Street","15, rue Willow",Yarmouth,NS,"Nova Scotia",Nouvelle-Écosse,"B5A 1T0",2023-2024,B651-18,65
P200030-101-20000358,00373,"GC Site - Pleasantville","Site GC - Pleasantville",000373,"GC Building - Pleasantville - Building 223","Édifice GC - Pleasantville - Édifice 223",Crown-owned,"Propriété de l'État",1956,300,Recognized,Reconnu,ATL,ATL,"99 Churchill Avenue","99, avenue Churchill","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1A 1N3",2019-2020,B651-18,74
P200044-101-20000372,22403,"GC Site - St. John's","Site GC - St. John's",022403,"GC Building - Tax Centre","Édifice GC - Centre fiscal",Crown-owned,"Propriété de l'État",1980,100,"Not applicable","N'est pas applicable",ATL,ATL,"290 Empire Avenue","290, avenue Empire","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 6L9",2023-2024,B651-18,71
P200052-101-20000382,00371,"Sir Humphrey Gilbert Site","Site Sir Humphrey Gilbert",000371,"Sir Humphrey Gilbert Building","Édifice Sir Humphrey Gilbert",Crown-owned,"Propriété de l'État",1959,400,Pending,"En attente",ATL,ATL,"165 Duckworth Street","165, rue Duckworth","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 1G4",2019-2020,B651-18,75
P200102-101-20000441,04761,"GC Site - Grand Falls","Site GC - Grand-Sault",004761,"GC Building - Grand Falls","Édifice GC - Grand-Sault",Crown-owned,"Propriété de l'État",1959,100,"Not applicable","N'est pas applicable",ATL,ATL,"373-377 Broadway Boulevard","373-377, boulevard Broadway","Grand Falls",NB,"New Brunswick",Nouveau-Brunswick,"E3Z 2K3",2023-2024,B651-18,66
P200108-101-20000453,03892,"GC Site - Saint John","Site GC - Saint John",003892,"GC Building - Postal Station 'A' and Annex","Édifice GC - Succursale postale 'A' et Annexe",Crown-owned,"Propriété de l'État",1915,300,Recognized,Reconnu,ATL,ATL,"126 Prince William Street","126, rue Prince William","Saint John",NB,"New Brunswick",Nouveau-Brunswick,"E2L 2B6",2021-2022,B651-18,73
P200111-101-20000458,04075,"GC Site - St. Stephen","Site GC - St. Stephen",004075,"GC Building - St. Stephen","Édifice GC - St. Stephen",Crown-owned,"Propriété de l'État",1952,500,"Not designated","Non désigné",ATL,ATL,"93 Milltown Boulevard","93, boulevard Milltown","St. Stephen",NB,"New Brunswick",Nouveau-Brunswick,"E3L 1G5",2022-2023,B651-18,67
P200119-101-20000469,04560,"GC Site - Miramichi","Site GC - Miramichi",004560,"GC Building - Miramichi","Édifice GC - Miramichi",Crown-owned,"Propriété de l'État",1957,100,"Not applicable","N'est pas applicable",ATL,ATL,"171 Duke Street","171, rue Duke",Miramichi,NB,"New Brunswick",Nouveau-Brunswick,"E1N 1H9",2023-2024,B651-18,72
P200122-101-20000474,04934,"GC Site - Caraquet","Site GC - Caraquet",004934,"GC Building - Caraquet","Édifice GC - Caraquet",Crown-owned,"Propriété de l'État",1974,400,Pending,"En attente",ATL,ATL,"50 St. Pierre Boulevard West","50, boulevard St. Pierre Ouest",Caraquet,NB,"New Brunswick",Nouveau-Brunswick,"E1W 1B6",2021-2022,B651-18,73
P200123-101-20000476,04378,"Dominion Public Site","Site Dominion Public",004378,"Dominion Public Building","Édifice public Dominion",Crown-owned,"Propriété de l'État",1936,300,Recognized,Reconnu,ATL,ATL,"1045 Main Street","1045, rue Main",Moncton,NB,"New Brunswick",Nouveau-Brunswick,"E1C 1H2",2020-2021,B651-18,73
P200144-101-20000500,04881,"Nicholas Denys Site","Site Nicholas Denys",004881,"Nicholas Denys Building","Édifice Nicholas Denys",Crown-owned,"Propriété de l'État",1979,400,Pending,"En attente",ATL,ATL,"120 Harbourview Boulevard","120, boulevard Harbourview",Bathurst,NB,"New Brunswick",Nouveau-Brunswick,"E2A 5B9",2019-2020,B651-18,69
P200145-101-20000502,22404,"GC Pension Centre Site","Site Centre des pensions du GC",022404,"GC Pension Centre Building","Centre des pensions du GC",Crown-owned,"Propriété de l'État",1982,400,Pending,"En attente",ATL,ATL,"10 Weldon Street","10, rue Weldon",Shediac,NB,"New Brunswick",Nouveau-Brunswick,"E4P 2X7",2019-2020,B651-18,78
P200146-101-20000505,34618,"GC Site - Moncton","Site GC - Moncton",034618,"GC Building - 310 Baig Boulevard","Édifice GC - 310, boulevard Baig",Crown-owned,"Propriété de l'État",1975,400,Pending,"En attente",ATL,ATL,"310 Baig Boulevard","310, boulevard Baig",Moncton,NB,"New Brunswick",Nouveau-Brunswick,"E1E 1C8",2020-2021,B651-18,76
P200153-101-20000522,22039,"Daniel J. MacDonald Site","Site Daniel-J.-MacDonald",022039,"Daniel J MacDonald Building","Édifice Daniel-J.-MacDonald",Crown-owned,"Propriété de l'État",1984,400,Pending,"En attente",ATL,ATL,"161 Grafton Street","161, rue Grafton",Charlottetown,PE,"Prince Edward Island",Île-du-Prince-Édouard,"C1A 1L1",2019-2020,B651-18,68
P200163-101-20000535,00360,"GC Site - Mount Pearl","Site GC - Mount Pearl",000360,"GC Building - Mount Pearl","Édifice GC - Mount Pearl",Crown-owned,"Propriété de l'État",1965,500,"Not designated","Non désigné",ATL,ATL,"6 Bruce Street","6, rue Bruce","Mount Pearl",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1N 4T3",2020-2021,B651-18,76
P200165-101-20000539,55814,"GC Site - Shippagan","Site GC - Shippagan",055814,"GC Building - Shippagan","Édifice GC - Shippagan",Crown-owned,"Propriété de l'État",1990-1999,400,Pending,"En attente",ATL,ATL,"196 Gauthier Boulevard","196, boulevard Gauthier",Shippagan,NB,"New Brunswick",Nouveau-Brunswick,"E8S 1P2",2022-2023,B651-18,48
P200169-101-20000544,55710,"Joseph R. Smallwood Site","Site Joseph R. Smallwood",055710,"Joseph R. Smallwood Building","Édifice Joseph R. Smallwood",Crown-owned,"Propriété de l'État",1994,400,Pending,"En attente",ATL,ATL,"1 Regent Square","1, Regent Square","Corner Brook",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A2H 7K6",2021-2022,B651-18,89
P200170-101-20000546,55746,"Joseph A. Ghiz Site","Site Joseph- A.-Ghiz",055746,"Joseph A. Ghiz Building","Édifice Joseph-A.-Ghiz",Crown-owned,"Propriété de l'État",1991,400,Pending,"En attente",ATL,ATL,"275 Pope Road","275, chemin Pope",Summerside,PE,"Prince Edward Island",Île-du-Prince-Édouard,"C1N 5C5",2019-2020,B651-18,64
P200174-101-20000553,55786,"The John Cabot Site","Site John Cabot",055786,"GC Building  John Cabot Building","Édifice GC - John Cabot",Crown-owned,"Propriété de l'État",1995,100,"Not applicable","N'est pas applicable",ATL,ATL,"10 Barters Hill","10, Barters Hill","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 6M1",2023-2024,B651-18,94
P200176-101-20000558,05804,"Gros Morne NP - Maintenance Centre","Gros-Morne PN - Centre d'entretien",055889,"GC Building  - Rocky Harbour","Édifice GC - Rocky Harbour",Crown-owned,"Propriété de l'État",1998,100,"Not applicable","N'est pas applicable",ATL,ATL,"31 Dot Drive","31, promenade Dot","Rocky Harbour",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A0K 4N0",2023-2024,B651-18,91
P200177-101-20000559,07199,"Jean Canfield Site","Site Jean-Canfield",007199,"Jean Canfield Building","Immeuble Jean-Canfield",Crown-owned,"Propriété de l'État",2007,400,Pending,"En attente",ATL,ATL,"191 University Avenue","191, avenue University",Charlottetown,PE,"Prince Edward Island",Île-du-Prince-Édouard,"C1A 4L2",2019-2020,B651-18,65
P200251-101-20000641,02059,"RCMP HQ 'L' Division Site","Site Quartier général de la GRC - Division L",002059,"RCMP HQ 'L' Division - Main Building","Édifice principal du quartier général de la Division L de la GRC",Crown-owned,"Propriété de l'État",1956,500,"Not designated","Non désigné",ATL,ATL,"450 University Avenue","450, avenue University",Charlottetown,PE,"Prince Edward Island",Île-du-Prince-Édouard,"C1A 4P1",2020-2021,B651-18,62
P200258-101-20000649,55870,"RCMP HQ 'B' Division Site","Site Quartier général de la GRC - Division B",105021,"RCMP HQ 'B' Division Building","Édifice principal du quartier général de la Division B de la GRC",Crown-owned,"Propriété de l'État",1994,400,Pending,"En attente",ATL,ATL,"100 East White Hills Road","100, rue East White Hills","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1A 3T5",2023-2024,B651-18,88
P200259-101-20000651,32944,"RCMP HQ 'J' Division Site","Site Quartier général de la GRC - Division J",032944,"RCMP HQ 'J' Division Building","Édifice principal du quartier général de la Division J de la GRC",Crown-owned,"Propriété de l'État",1988,400,Pending,"En attente",ATL,ATL,"1445 Regent Street","1445, rue Regent",Fredericton,NB,"New Brunswick",Nouveau-Brunswick,"E3C 2P9",2023-2024,B651-18,72
P200310-101-20000712,55870,"White Hills (Northwest Atlantic Fisheries Centre & RCMP HQ 'B' Division) Site","Site White Hills (Centre des pêches de l'Atlantique Nord-ouest et Quartier général de la Division B de la GRC)",105024,"Northwest Atlantic Fisheries Centre","Centre des pêches de l'Atlantique Nord-ouest",Crown-owned,"Propriété de l'État",1979,200,Classified,Classé,ATL,ATL,"80 East White Hills Road","80, chemin East White Hills","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 5X1",2019-2020,B651-18,71
P200315-101-20002085,06506,"GC Site -  RCMP H Division HQ - Dartmouth, NS","Site GC - Quartier général de la Division H de la GRC",006506,"RCMP HQ 'H' Division Building","Édifice principal du quartier général de la Division H de la GRC",Crown-owned,"Propriété de l'État",2013,100,"Not applicable","N'est pas applicable",ATL,ATL,"80 Garland Avenue","80, avenue Garland",Dartmouth,NS,"Nova Scotia",Nouvelle-Écosse,"B3B 0J8",2023-2024,B651-18,63
P200886-101-20001721,05669,"Marine House Site","Site Marine House",005669,"Marine House Building","Édifice Marine House",Crown-owned,"Propriété de l'État",1984,400,Pending,"En attente",ATL,ATL,"176 Portland Street","176, rue Portland",Dartmouth,NS,"Nova Scotia",Nouvelle-Écosse,"B2Y 1J3",2019-2020,B651-18,77
P201153-101-80000705,21680,"Miramichi Public Service Pay Centre Site","Site Centre des services de paye de la fonction publique de Miramichi",021680,"Miramichi Public Service Pay Centre","Centre des services de paye de la fonction publique de Miramichi","Lease purchase","Bail achat",2015,100,"Not applicable","N'est pas applicable",ATL,ATL,"2 Victoria Avenue","2, avenue Victoria",Miramichi,NB,"New Brunswick",Nouveau-Brunswick,"E1N 0E6",2021-2022,B651-18,86
P201392-101-20002476,15230,"Wentworth Court","Wentworth Court",151872,"Wentworth Court","court Wentworth",Crown-owned,"Propriété de l'État",1962,300,Recognized,Reconnu,ATL,ATL,"70 Crescent Street","70, rue Crescent",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1S 2Z7",2019-2020,B651-18,70
P201398-101-20002487,15188,"Speigel Site","Site Speigel",015188,"Speigel Building","Édifice Speigel",Crown-owned,"Propriété de l'État",2003,100,"Not applicable","N'est pas applicable",ATL,ATL,"3050 Wilson Avenue","3050, avenue Wilson",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1H 5V8",2023-2024,B651-18,86
P300033-101-30000348,73878,"Guy-Favreau Complex Site","Site Complexe Guy-Favreau",073878,"Guy-Favreau Complex - Basilaire","Complexe Guy-Favreau - Basilaire",Crown-owned,"Propriété de l'État",1983,400,Pending,"En attente",QC,QC,"200 René-Lévesque Boulevard West","200, boulevard René-Lévesque Ouest",Montréal,QC,Quebec,Québec,"H2Z 1X4",2020-2021,B651-18,70
P300033-101-30002204,73878,"Guy-Favreau Complex Site","Site Complexe Guy-Favreau",021979,"Guy-Favreau Complex (East Tower)","Complexe Guy-Favreau (Tour Est)","Lease purchase","Bail achat",1983,100,"Not applicable","N'est pas applicable",QC,QC,"200 René-Lévesque Boulevard West","200, boulevard René-Lévesque Ouest",Montréal,QC,Quebec,Québec,"H2Z 1X4",2020-2021,B651-18,70
P300033-101-30002205,73878,"Guy-Favreau Complex Site","Site Complexe Guy-Favreau",104407,"Guy-Favreau Complex (West Tower)","Complexe Guy-Favreau (Tour Ouest)","Lease purchase","Bail achat",1983,100,"Not applicable","N'est pas applicable",QC,QC,"200 René-Lévesque Boulevard West","200, boulevard René-Lévesque Ouest",Montréal,QC,Quebec,Québec,"H2Z 1X4",2020-2021,B651-18,70
P300035-101-30000350,07099,"GC Site - Montreal","Site GC - Montréal",007099,"GC Building - Montreal","Édifice GC - Montréal",Crown-owned,"Propriété de l'État",1936,300,Recognized,Reconnu,QC,QC,"715 Peel Street","715, rue Peel",Montréal,QC,Quebec,Québec,"H3C 4H6",2023-2024,B651-18,54
P300047-101-30000367,75046,"New Custom House Site","Site Nouvel édifice de la douane",075046,"New Custom House","Nouvel Édifice de la douane",Crown-owned,"Propriété de l'État",1856,200,Classified,Classé,QC,QC,"130 Dalhousie Street","130, rue Dalhousie",Québec,QC,Quebec,Québec,"G1K 4C4",2019-2020,B651-18,53
P300049-101-30000369,05757,"Louis Saint-Laurent Site","Site Louis Saint-Laurent",005757,"Louis St-Laurent Building","Édifice Louis St-Laurent",Crown-owned,"Propriété de l'État",1871,200,Classified,Classé,QC,QC,"3 Du Chien-d'Or Passage","3, passage du Chien-d'Or",Québec,QC,Quebec,Québec,"G1R 3Z8",2020-2021,B651-18,52
P300051-101-30000374,08122,"Jos-Hébert Site","Site Jos-Hébert",008122,"Jos Hébert Building","Immeuble Jos-Hébert",Crown-owned,"Propriété de l'État",1973,100,"Not applicable","N'est pas applicable",QC,QC,"701 Laure Boulevard","701, boulevard Laure",Sept-Îles,QC,Quebec,Québec,"G4R 1X8",2022-2023,B651-18,63
P300052-101-30000377,07996,"Gilles Marceau Site","Site Gilles-Marceau",007996,"Gilles Marceau Building","Édifice Gilles-Marceau",Crown-owned,"Propriété de l'État",1979,500,"Not designated","Non désigné",QC,QC,"2251 René-Lévesque Boulevard","2251, boulevard René-Lévesque",Jonquière,QC,Quebec,Québec,"G7S 5J2",2023-2024,B651-18,58
P300055-101-30000382,05030,"GC Site - Cap-aux-Meules","Site GC - Cap-aux-Meules",005030,"GC Building - Cap-aux-Meules","Édifice GC - Cap-aux-Meules",Crown-owned,"Propriété de l'État",1953,500,"Not designated","Non désigné",QC,QC,"235 Principale Street","235, rue Principale",Cap-aux-Meules,QC,Quebec,Québec,"G0B 1B0",2022-2023,B651-18,62
P300056-101-30000384,22698,"Frédérica-Giroux Site","Site Frédérica-Giroux",022698,"Frédérica-Giroux Building","Immeuble Frédérica-Giroux",Crown-owned,"Propriété de l'État",1985,100,"Not applicable","N'est pas applicable",QC,QC,"98 De la Reine Street","98, rue de la Reine",Gaspé,QC,Quebec,Québec,"G4X 3B3",2022-2023,B651-18,74
P300057-101-30000386,05398,"René-Tremblay Site","Site René-Tremblay",005398,"René Tremblay Building","Immeuble René-Tremblay",Crown-owned,"Propriété de l'État",1976,100,"Not applicable","N'est pas applicable",QC,QC,"150 Dion Boulevard","150, boulevard Dion",Matane,QC,Quebec,Québec,"G4W 3L7",2019-2020,B651-18,50
P300058-101-30000388,29844,"GC Site - Chandler","Site GC - Chandler",029844,"GC Building - Chandler","Édifice GC- Chandler",Crown-owned,"Propriété de l'État",1983,100,"Not applicable","N'est pas applicable",QC,QC,"75 René-Lévesque Boulevard East","75, boulevard René-Lévesque Est",Chandler,QC,Quebec,Québec,"G0C 1K0",2022-2023,B651-18,69
P300059-101-30000390,05146,"GC Site - Gaspé","Site GC - Gaspé",005146,"GC Building - Gaspé","Édifice GC - Gaspé",Crown-owned,"Propriété de l'État",1950,500,"Not designated","Non désigné",QC,QC,"120 De la Reine Street","120, rue de la Reine",Gaspé,QC,Quebec,Québec,"G4X 2R2",2022-2023,B651-18,59
P300060-101-30000392,73949,"GC Site - Grande-Rivière","Site GC - Grande-Rivière",073949,"GC Building - Grande-Rivière","Édifice GC - Grande-Rivière",Crown-owned,"Propriété de l'État",1960,500,"Not designated","Non désigné",QC,QC,"84 Du Carrefour Street","84, rue Du Carrefour",Grande-Rivière,QC,Quebec,Québec,"G0C 1V0",2022-2023,B651-18,72
P300063-101-30000397,55376,"94-104-112 Dalhousie St Site","Site 94-104-112 rue Dalhousie",055376,"Louis-Pratt Building","Immeuble Louis Pratt",Crown-owned,"Propriété de l'État",1983,100,"Not applicable","N'est pas applicable",QC,QC,"104 Dalhousie Street","104, rue Dalhousie",Québec,QC,Quebec,Québec,"G1K 4B8",2020-2021,B651-18,50
P300070-101-30000405,43503,"GC Site - Chicoutimi","Site GC - Chicoutimi",043503,"GC Building - Chicoutimi","Édifice GC - Chicoutimi",Crown-owned,"Propriété de l'État",1986,100,"Not applicable","N'est pas applicable",QC,QC,"100 Lafontaine Street","100, rue Lafontaine",Chicoutimi,QC,Quebec,Québec,"G7M 6X2",2019-2020,B651-18,54
P300081-101-30000420,43171,"Jeanne Sauvé Site","Site Jeanne-Sauvé",043171,"Jeanne Sauvé Building","Édifice Jeanne-Sauvé",Crown-owned,"Propriété de l'État",1983,100,"Not applicable","N'est pas applicable",QC,QC,"1575 Chomedey Boulevard","1575, boulevard Chomedey",Laval,QC,Quebec,Québec,"H7V 2X2",2019-2020,B651-18,51
P300090-101-30000398,07100,"Dominique Ducharme Site","Site Dominique-Ducharme",007100,"GC Building - Dominique-Ducharme","Édifice GC - Dominique-Ducharme",Crown-owned,"Propriété de l'État",1916,200,Classified,Classé,QC,QC,"400 Place d'Youville","400, place d'Youville",Montréal,QC,Quebec,Québec,"H2Y 3N4",2023-2024,B651-18,53
P300090-101-30000431,07100,"Dominique Ducharme Site","Site Dominique-Ducharme",007100,"GC Building - Dominique-Ducharme","Édifice GC - Dominique-Ducharme",Crown-owned,"Propriété de l'État",1936,200,Classified,Classé,QC,QC,"105 McGill Street","105, rue McGill",Montréal,QC,Quebec,Québec,"H2Y 2E7",2023-2024,B651-18,53
P300107-101-30000452,07740,"Réal-Caouette Site","Site Réal-Caouette",007740,"Réal Caouette Building","Édifice Réal-Caouette",Crown-owned,"Propriété de l'État",1980,400,Pending,"En attente",QC,QC,"151 du Lac Avenue","151, avenue du Lac",Rouyn-Noranda,QC,Quebec,Québec,"J9X 4N6",2022-2023,B651-18,84
