Fiscal-year_Exercice-financier,AO_ID,DFRP-property-No_No-bien-immobilier-RBIF,DFRP-structure-No_No-structure-RBIF,Property-name_Nom-du-bien-ENG,Property-name_Nom-du-bien-FRA,Structure-name_Nom-du-structure-ENG,Structure-name_Nom-du-structure-FRA,Structure-address_Adresse-du-structure-ENG,Structure-address_Adresse-du-structure-FRA,City-Ville,Province-Code_Code-de-province,Province-territory_Province-territoire-ENG,Province-territory_Province-territoire-FRA,Postal-code_Code-postal,Structure-condition_condition-de-la-structure-ENG,Structure-condition_condition-de-la-structure-FRA,Property-condition_condition-du-bien-ENG,Property-condition_condition-du-bien-FRA,Heritage-designation-type_Type-de-désignation,Heritage-designation_Désignation-ENG,Heritage-designation_Désignation-FRA,Interest-Type_Type-de-propriété-ENG,Interest-Type_Type-de-propriété-FRA
2022-2023,P400002-102-40000311,08835,103840,"National Library & Public Archives Site","Site Bibliothèque nationale et Archives publiques","Supreme Court Building","Édifice du Cour Suprême","301 Wellington Street","301, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H9",Critical,Critique,Critical,Critique,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2023-2024,P400002-102-40000311,08835,103840,"National Library & Public Archives Site","Site Bibliothèque nationale et Archives publiques","Supreme Court Building","Édifice du Cour Suprême","301 Wellington Street","301, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H9",Critical,Critique,Critical,Critique,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2019-2020,P400002-103-40000552,08834,103838,"Parliament Hill","Colline du Parlement","Confederation Building","Édifice de la Confédération","229 Wellington Street","229, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H9",Critical,Critique,Critical,Critique,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2020-2021,P400002-103-40000552,08834,103838,"Parliament Hill","Colline du Parlement","Confederation Building","Édifice de la Confédération","229 Wellington Street","229, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H9",Critical,Critique,Critical,Critique,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2021-2022,P400002-103-40000552,08834,103838,"Parliament Hill","Colline du Parlement","Confederation Building","Édifice de la Confédération","229 Wellington Street","229, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H9",Critical,Critique,Critical,Critique,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2022-2023,P400002-103-40000552,08834,103838,"Parliament Hill","Colline du Parlement","Confederation Building","Édifice de la Confédération","229 Wellington Street","229, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H9",Critical,Critique,Critical,Critique,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2023-2024,P400002-103-40000552,08834,103838,"Parliament Hill","Colline du Parlement","Confederation Building","Édifice de la Confédération","229 Wellington Street","229, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H9",Critical,Critique,Critical,Critique,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2019-2020,P400006-101-40000313,08836,008836,"East Memorial Site","Site commémoratif de l'Est","East Memorial Building","Édifice commémoratif de l'Est","284 Wellington Street","284, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H8",Fair,Passable,Fair,Passable,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2020-2021,P400006-101-40000313,08836,008836,"East Memorial Site","Site commémoratif de l'Est","East Memorial Building","Édifice commémoratif de l'Est","284 Wellington Street","284, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H8",Fair,Passable,Fair,Passable,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2021-2022,P400006-101-40000313,08836,008836,"East Memorial Site","Site commémoratif de l'Est","East Memorial Building","Édifice commémoratif de l'Est","284 Wellington Street","284, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H8",Fair,Passable,Fair,Passable,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2022-2023,P400006-101-40000313,08836,008836,"East Memorial Site","Site commémoratif de l'Est","East Memorial Building","Édifice commémoratif de l'Est","284 Wellington Street","284, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H8",Poor,"Piètre qualité",Poor,"Piètre qualité",200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2023-2024,P400006-101-40000313,08836,008836,"East Memorial Site","Site commémoratif de l'Est","East Memorial Building","Édifice commémoratif de l'Est","284 Wellington Street","284, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0H8",Fair,Passable,Fair,Passable,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2019-2020,P400007-101-40000314,08837,008837,"West Memorial Site","Site commémoratif de l'Ouest","West Memorial Building","Édifice commémoratif de l'Ouest","344 Wellington Street","344, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0N3",Good,Bonne,Good,Bonne,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2020-2021,P400007-101-40000314,08837,008837,"West Memorial Site","Site commémoratif de l'Ouest","West Memorial Building","Édifice commémoratif de l'Ouest","344 Wellington Street","344, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0N3",Unknown,Inconnue,Unknown,Inconnue,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2021-2022,P400007-101-40000314,08837,008837,"West Memorial Site","Site commémoratif de l'Ouest","West Memorial Building","Édifice commémoratif de l'Ouest","344 Wellington Street","344, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0N3",Good,Bonne,Good,Bonne,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2022-2023,P400007-101-40000314,08837,008837,"West Memorial Site","Site commémoratif de l'Ouest","West Memorial Building","Édifice commémoratif de l'Ouest","344 Wellington Street","344, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0N3",Unknown,Inconnue,Unknown,Inconnue,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2023-2024,P400007-101-40000314,08837,008837,"West Memorial Site","Site commémoratif de l'Ouest","West Memorial Building","Édifice commémoratif de l'Ouest","344 Wellington Street","344, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0N3",Unknown,Inconnue,Unknown,Inconnue,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2019-2020,P400008-101-40000315,09031,009031,"LaSalle Academy Site","Site Académie de LaSalle","LaSalle Academy","Académie de LaSalle","373 Sussex Drive","373, promenade Sussex",Ottawa,ON,Ontario,Ontario,"K1N 6Z2",Poor,"Piètre qualité",Poor,"Piètre qualité",200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2020-2021,P400008-101-40000315,09031,009031,"LaSalle Academy Site","Site Académie de LaSalle","LaSalle Academy","Académie de LaSalle","373 Sussex Drive","373, promenade Sussex",Ottawa,ON,Ontario,Ontario,"K1N 6Z2",Poor,"Piètre qualité",Poor,"Piètre qualité",200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2021-2022,P400008-101-40000315,09031,009031,"LaSalle Academy Site","Site Académie de LaSalle","LaSalle Academy","Académie de LaSalle","373 Sussex Drive","373, promenade Sussex",Ottawa,ON,Ontario,Ontario,"K1N 6Z2",Poor,"Piètre qualité",Poor,"Piètre qualité",200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2022-2023,P400008-101-40000315,09031,009031,"LaSalle Academy Site","Site LaSalle Academy","LaSalle Academy","LaSalle Academy","373 Sussex Drive","373, promenade Sussex",Ottawa,ON,Ontario,Ontario,"K1N 6Z2",Critical,Critique,Critical,Critique,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2023-2024,P400008-101-40000315,09031,009031,"LaSalle Academy Site","Site LaSalle Academy","LaSalle Academy","LaSalle Academy","373 Sussex Drive","373, promenade Sussex",Ottawa,ON,Ontario,Ontario,"K1N 6Z2",Critical,Critique,Critical,Critique,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2019-2020,P400010-101-40000319,09004,009004,"Connaught Site","Site Connaught","Connaught Building","Édifice Connaught","555 MacKenzie Avenue","555, avenue MacKenzie",Ottawa,ON,Ontario,Ontario,"K1A 0L5",Good,Bonne,Good,Bonne,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2020-2021,P400010-101-40000319,09004,009004,"Connaught Site","Site Connaught","Connaught Building","Édifice Connaught","555 MacKenzie Avenue","555, avenue MacKenzie",Ottawa,ON,Ontario,Ontario,"K1A 0L5",Fair,Passable,Fair,Passable,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2021-2022,P400010-101-40000319,09004,009004,"Connaught Site","Site Connaught","Connaught Building","Édifice Connaught","555 MacKenzie Avenue","555, avenue MacKenzie",Ottawa,ON,Ontario,Ontario,"K1A 0L5",Unknown,Inconnue,Unknown,Inconnue,200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2022-2023,P400010-101-40000319,09004,009004,"Connaught Site","Site Connaught","Connaught Building","Édifice Connaught","555 MacKenzie Avenue","555, avenue MacKenzie",Ottawa,ON,Ontario,Ontario,"K1A 0L5",Poor,"Piètre qualité",Poor,"Piètre qualité",200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2023-2024,P400010-101-40000319,09004,009004,"Connaught Site","Site Connaught","Connaught Building","Édifice Connaught","555 MacKenzie Avenue","555, avenue MacKenzie",Ottawa,ON,Ontario,Ontario,"K1A 0L5",Poor,"Piètre qualité",Poor,"Piètre qualité",200,"Heritage Property",Classé,Crown-owned,"Propriété de l'État"
2019-2020,P400011-101-40000321,24781,024781,"GC Site - Ottawa","Site GC - Ottawa","GC Building - 350 King Edward Avenue","Édifice GC - 350 avenue King Edward","350 King Edward Avenue","350, avenue King Edward",Ottawa,ON,Ontario,Ontario,"K1A 0X1",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2020-2021,P400011-101-40000321,24781,024781,"GC Site - Ottawa","Site GC - Ottawa","GC Building - 350 King Edward Avenue","Édifice GC - 350 avenue King Edward","350 King Edward Avenue","350, avenue King Edward",Ottawa,ON,Ontario,Ontario,"K1A 0X1",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2021-2022,P400011-101-40000321,24781,024781,"GC Site - Ottawa","Site GC - Ottawa","GC Building - 350 King Edward Avenue","Édifice GC - 350 avenue King Edward","350 King Edward Avenue","350, avenue King Edward",Ottawa,ON,Ontario,Ontario,"K1A 0X1",Critical,Critique,Critical,Critique,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2022-2023,P400011-101-40000321,24781,024781,"GC Site - Ottawa","Site GC - Ottawa","GC Building - 350 King Edward Avenue","Édifice GC - 350 avenue King Edward","350 King Edward Avenue","350, avenue King Edward",Ottawa,ON,Ontario,Ontario,"K1A 0X1",Critical,Critique,Critical,Critique,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2023-2024,P400011-101-40000321,24781,024781,"GC Site - Ottawa","Site GC - Ottawa","GC Building - 350 King Edward Avenue","Édifice GC - 350 avenue King Edward","350 King Edward Avenue","350, avenue King Edward",Ottawa,ON,Ontario,Ontario,"K1A 0X1",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P400012-101-40000323,09026,009026,"Major-General G. R. Pearkes Site","Site Major-général G.R. Pearkes","Major-General G. R. Pearkes Building","Édifice Major-Général G. R. Pearkes","101 Colonel By Drive","101, promenade Colonel By",Ottawa,ON,Ontario,Ontario,"K1A 0K2",Good,Bonne,Good,Bonne,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P400012-101-40000323,09026,009026,"Major-General G. R. Pearkes Site","Site Major-général G.R. Pearkes","Major-General G. R. Pearkes Building","Édifice Major-Général G. R. Pearkes","101 Colonel By Drive","101, promenade Colonel By",Ottawa,ON,Ontario,Ontario,"K1A 0K2",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P400012-101-40000323,09026,009026,"Major-General G. R. Pearkes Site","Site Major-général G.R. Pearkes","Major-General G. R. Pearkes Building","Édifice Major-Général G. R. Pearkes","101 Colonel By Drive","101, promenade Colonel By",Ottawa,ON,Ontario,Ontario,"K1A 0K2",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P400012-101-40000323,09026,009026,"Major-General G. R. Pearkes Site","Site Major-général G.R. Pearkes","Major-General G. R. Pearkes Building","Édifice Major-Général G. R. Pearkes","101 Colonel By Drive","101, promenade Colonel By",Ottawa,ON,Ontario,Ontario,"K1A 0K2",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P400012-101-40000323,09026,009026,"Major-General G. R. Pearkes Site","Site Major-général G.R. Pearkes","Major-General G. R. Pearkes Building","Édifice Major-Général G. R. Pearkes","101 Colonel By Drive","101, promenade Colonel By",Ottawa,ON,Ontario,Ontario,"K1A 0K2",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P400018-101-40000330,08996,008996,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau","GC Building - Exhibition Commission Office","Édifice GC - Commission des expositions - Bureaux","440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2020-2021,P400018-101-40000330,08996,008996,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau","GC Building - Exhibition Commission Office","Édifice GC - Commission des expositions - Bureaux","440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",Good,Bonne,Good,Bonne,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2021-2022,P400018-101-40000330,08996,008996,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau","GC Building - Exhibition Commission Office","Édifice GC - Commission des expositions - Bureaux","440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",Good,Bonne,Good,Bonne,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2022-2023,P400018-101-40000330,08996,008996,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau","GC Building - Exhibition Commission Office","Édifice GC - Commission des expositions - Bureaux","440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",Fair,Passable,Fair,Passable,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2023-2024,P400018-101-40000330,08996,008996,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau","GC Building - Exhibition Commission Office","Édifice GC - Commission des expositions - Bureaux","440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",Fair,Passable,Fair,Passable,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2019-2020,P400018-102-40000332,08996,103876,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau","GC Building - Exhibition Commission - Warehouse","Édifice GC - Commission des expositions - Entrepôt","440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2020-2021,P400018-102-40000332,08996,103876,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau","GC Building - Exhibition Commission - Warehouse","Édifice GC - Commission des expositions - Entrepôt","440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2021-2022,P400018-102-40000332,08996,103876,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau","GC Building - Exhibition Commission - Warehouse","Édifice GC - Commission des expositions - Entrepôt","440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",Good,Bonne,Good,Bonne,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2022-2023,P400018-102-40000332,08996,103876,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau","GC Building - Exhibition Commission - Warehouse","Édifice GC - Commission des expositions - Entrepôt","440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",Fair,Passable,Fair,Passable,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2023-2024,P400018-102-40000332,08996,103876,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau","GC Building - Exhibition Commission - Warehouse","Édifice GC - Commission des expositions - Entrepôt","440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",Fair,Passable,Fair,Passable,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2019-2020,P400020-101-40000333,08664,008664,"GC Site - Central Heating Plant - N.D.M.C","Site GC - Centrale de chauffage du CMDN","GC Building - Central Heating Plant NDMC","Édifice GC - Centrale de chauffage du CMDN","1745 Alta Vista Drive","1745, promenade Alta Vista",Ottawa,ON,Ontario,Ontario,"K1A 0K6",Good,Bonne,Good,Bonne,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2020-2021,P400020-101-40000333,08664,008664,"GC Site - Central Heating Plant - N.D.M.C","Site GC - Centrale de chauffage du CMDN","GC Building - Central Heating Plant NDMC","Édifice GC - Centrale de chauffage du CMDN","1745 Alta Vista Drive","1745, promenade Alta Vista",Ottawa,ON,Ontario,Ontario,"K1A 0K6",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2021-2022,P400020-101-40000333,08664,008664,"GC Site - Central Heating Plant - N.D.M.C","Site GC - Centrale de chauffage du CMDN","GC Building - Central Heating Plant NDMC","Édifice GC - Centrale de chauffage du CMDN","1745 Alta Vista Drive","1745, promenade Alta Vista",Ottawa,ON,Ontario,Ontario,"K1A 0K6",Unknown,Inconnue,Unknown,Inconnue,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2022-2023,P400020-101-40000333,08664,008664,"GC Site - Central Heating Plant - N.D.M.C","Site GC - Centrale de chauffage du CMDN","GC Building - Central Heating Plant NDMC","Édifice GC - Centrale de chauffage du CMDN","1745 Alta Vista Drive","1745, promenade Alta Vista",Ottawa,ON,Ontario,Ontario,"K1A 0K6",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P400036-101-40000349,30918,104476,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","Private Branch Exchange Building","Édifice pour autocommutateur privé","790 Heron Road","790, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1V 1N2",Good,Bonne,Good,Bonne,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2020-2021,P400036-101-40000349,30918,104476,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","Private Branch Exchange Building","Édifice pour autocommutateur privé","790 Heron Road","790, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1V 1N2",Good,Bonne,Good,Bonne,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2021-2022,P400036-101-40000349,30918,104476,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","Private Branch Exchange Building","Édifice pour autocommutateur privé","790 Heron Road","790, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1V 1N2",Unknown,Inconnue,Unknown,Inconnue,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2022-2023,P400036-101-40000349,30918,104476,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","Private Branch Exchange (PBX)","Autocommutateur privé (PBX)","790 Heron Road","790, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1V 1N2",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2023-2024,P400036-101-40000349,30918,104476,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","Private Branch Exchange (PBX)","Autocommutateur privé (PBX)","790 Heron Road","790, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1V 1N2",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P400036-102-40000350,30918,030918,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","Insurance Building","Insurance Building","770 Heron Road","770, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 0B1",Good,Bonne,Good,Bonne,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2020-2021,P400036-102-40000350,30918,030918,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","Insurance Building","Insurance Building","770 Heron Road","770, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 0B1",Unknown,Inconnue,Unknown,Inconnue,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P400036-103-40000695,30918,104480,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","National Capital Commission Garage","Garage de la Commission de la Capitale nationale","501 Heron Road","501, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 0A9",Good,Bonne,Good,Bonne,100,"Not applicable","N'est pas applicable",Crown-owned,"Propriété de l'État"
2020-2021,P400036-103-40000695,30918,104480,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","National Capital Commission Garage","Garage de la Commission de la Capitale nationale","501 Heron Road","501, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 0A9",Good,Bonne,Good,Bonne,100,"Not applicable","N'est pas applicable",Crown-owned,"Propriété de l'État"
2021-2022,P400036-103-40000695,30918,104480,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","National Capital Commission Garage","Garage de la Commission de la Capitale nationale","501 Heron Road","501, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 0A9",Unknown,Inconnue,Unknown,Inconnue,100,"Not applicable","N'est pas applicable",Crown-owned,"Propriété de l'État"
2022-2023,P400036-103-40000695,30918,104480,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","National Capital Commission Garage","Garage de la Commission de la Capitale nationale","501 Heron Road","501, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 0A9",Fair,Passable,Fair,Passable,100,"Not applicable","N'est pas applicable",Crown-owned,"Propriété de l'État"
2023-2024,P400036-103-40000695,30918,104480,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","National Capital Commission Garage","Garage de la Commission de la Capitale nationale","501 Heron Road","501, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 0A9",Fair,Passable,Fair,Passable,100,"Not applicable","N'est pas applicable",Crown-owned,"Propriété de l'État"
2021-2022,P400036-104-40002573,30918,104477,"PBX, Garage, CHP Buildings Site","Site Édifices PBX, Garage, Chaufferie","Central Heating Plant Heron","Chaufferie du chemin Heron","501 Heron Road","501, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 0M3",Unknown,Inconnue,Unknown,Inconnue,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2019-2020,P400038-101-40000351,08651,008651,"Taxation Data Centre Complex Site","Site Complexe du Centre des données fiscales","Taxation Headquarters","Administration centrale de Revenu Canada","875 Heron Road","875, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 1B1",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P400038-101-40000351,08651,008651,"Taxation Data Centre Complex Site","Site Complexe du Centre des données fiscales","Taxation Headquarters","Administration centrale de Revenu Canada","875 Heron Road","875, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 1B1",Unknown,Inconnue,Unknown,Inconnue,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P400038-101-40000351,08651,008651,"Taxation Data Centre Complex Site","Site Complexe du Centre des données fiscales","Taxation Headquarters","Administration centrale de Revenu Canada","875 Heron Road","875, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 1B1",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P400038-101-40000351,08651,008651,"Taxation Data Centre Complex Site","Site Complexe du Centre des données fiscales","Taxation Headquarters","Administration centrale de Revenu Canada","875 Heron Road","875, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 1B1",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P400038-101-40000351,08651,008651,"Taxation Data Centre Complex Site","Site Complexe du Centre des données fiscales","Taxation Headquarters","Administration centrale de Revenu Canada","875 Heron Road","875, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 1B1",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P400038-102-40000353,08651,103769,"Taxation Data Centre Complex Site","Site Complexe du Centre des données fiscales","Taxation Data Centre","Centre des données fiscales","875 Heron Road","875, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 1B1",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P400038-102-40000353,08651,103769,"Taxation Data Centre Complex Site","Site Complexe du Centre des données fiscales","Taxation Data Centre","Centre des données fiscales","875 Heron Road","875, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 1B1",Unknown,Inconnue,Unknown,Inconnue,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P400038-102-40000353,08651,103769,"Taxation Data Centre Complex Site","Site Complexe du Centre des données fiscales","Taxation Data Centre","Centre des données fiscales","875 Heron Road","875, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 1B1",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P400038-102-40000353,08651,103769,"Taxation Data Centre Complex Site","Site Complexe du Centre des données fiscales","Taxation Data Centre","Centre des données fiscales","875 Heron Road","875, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 1B1",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P400038-102-40000353,08651,103769,"Taxation Data Centre Complex Site","Site Complexe du Centre des données fiscales","Taxation Data Centre","Centre des données fiscales","875 Heron Road","875, chemin Heron",Ottawa,ON,Ontario,Ontario,"K1A 1B1",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P400043-101-40000360,08803,103804,"Booth Street Site","Site rue Booth","Booth Administration Building","Édifice de l'Administration de la rue Booth","588 Booth Street","588, rue Booth",Ottawa,ON,Ontario,Ontario,"K1R 7L2",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P400043-101-40000360,08803,103804,"Booth Street Site","Site rue Booth","Booth Administration Building","Édifice de l'Administration de la rue Booth","588 Booth Street","588, rue Booth",Ottawa,ON,Ontario,Ontario,"K1R 7L2",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
