Fscl-yr_Ex-fin,Project-nbr_No-de-projet,On-time_Respect-des-delais,On-budget_Respect-du-budget,On-scope_Respect-de-la-portee,Overall-project-health_Sante-globale-du-projet
2021-2022,2021-2022-00290,1,1,1,1
2021-2022,2021-2022-00292,1,1,1,1
2021-2022,2021-2022-00294,1,1,1,1
2021-2022,2021-2022-00296,1,1,1,1
2021-2022,2021-2022-00299,2,1,1,2
2021-2022,2021-2022-00302,1,1,1,1
2021-2022,2021-2022-00304,3,3,1,3
2021-2022,2021-2022-00306,3,3,1,3
2021-2022,2021-2022-00309,1,1,1,1
2021-2022,2021-2022-00310,1,1,1,1
2021-2022,2021-2022-00312,1,1,1,1
2021-2022,2021-2022-00313,1,1,1,1
2021-2022,2021-2022-00314,1,1,1,1
2021-2022,2021-2022-00315,1,1,1,1
2021-2022,2021-2022-00316,1,1,1,1
2021-2022,2021-2022-00318,2,1,1,2
2021-2022,2021-2022-00322,2,1,1,2
2021-2022,2021-2022-00325,1,1,1,1
2021-2022,2021-2022-00326,1,1,1,1
2021-2022,2021-2022-00327,1,1,1,1
2021-2022,2021-2022-00330,2,1,1,2
2021-2022,2021-2022-00331,1,1,1,1
2021-2022,2021-2022-00332,2,1,2,2
2021-2022,2021-2022-00333,2,1,1,2
2021-2022,2021-2022-00336,2,1,1,2
2021-2022,2021-2022-00337,1,1,1,1
2021-2022,2021-2022-00338,3,1,1,3
2021-2022,2021-2022-00339,1,1,1,1
2021-2022,2021-2022-00348,3,3,3,3
2021-2022,2021-2022-00349,1,1,1,1
2021-2022,2021-2022-00351,2,3,1,3
2021-2022,2021-2022-00352,1,1,1,1
2021-2022,2021-2022-00358,2,1,1,2
2021-2022,2021-2022-00360,3,1,1,3
2021-2022,2021-2022-00361,1,1,1,1
2021-2022,2021-2022-00362,1,1,1,1
2021-2022,2021-2022-00363,1,1,1,1
2021-2022,2021-2022-00364,1,1,1,1
2021-2022,2021-2022-00365,1,1,1,1
2021-2022,2021-2022-00367,1,1,1,1
2021-2022,2021-2022-00368,2,2,3,3
2021-2022,2021-2022-00369,1,1,1,1
2021-2022,2021-2022-00370,1,1,1,1
2021-2022,2021-2022-00376,1,1,1,1
2021-2022,2021-2022-00377,1,1,1,1
2021-2022,2021-2022-00379,1,1,1,1
2021-2022,2021-2022-00380,3,1,1,3
2021-2022,2021-2022-00389,2,1,1,2
2021-2022,2021-2022-00390,1,0,0,1
2021-2022,2021-2022-00391,1,1,1,1
2021-2022,2021-2022-00393,1,1,1,1
2021-2022,2021-2022-00394,2,1,1,2
2021-2022,2021-2022-00397,1,1,1,1
2021-2022,2021-2022-00398,1,1,1,1
2021-2022,2021-2022-00399,1,1,1,1
2021-2022,2021-2022-00400,1,1,1,1
2021-2022,2021-2022-00401,1,1,1,1
2021-2022,2021-2022-00403,1,1,1,1
2021-2022,2021-2022-00404,1,1,1,1
2021-2022,2021-2022-00406,1,1,1,1
2021-2022,2021-2022-00407,2,1,1,2
2021-2022,2021-2022-00408,2,2,2,2
2021-2022,2021-2022-00409,1,1,1,1
2021-2022,2021-2022-00411,2,1,1,2
2021-2022,2021-2022-00413,1,1,1,1
2021-2022,2021-2022-00414,1,1,1,1
2021-2022,2021-2022-00415,2,1,1,2
2021-2022,2021-2022-00416,1,1,1,1
2021-2022,2021-2022-00418,1,1,1,1
2021-2022,2021-2022-00419,2,1,1,2
2021-2022,2021-2022-00420,1,1,1,1
2021-2022,2021-2022-00421,1,1,1,1
2021-2022,2021-2022-00423,1,1,1,1
2021-2022,2021-2022-00425,1,1,1,1
2021-2022,2021-2022-00427,1,1,1,1
2021-2022,2021-2022-00429,1,1,1,1
2021-2022,2021-2022-00431,1,1,1,1
2021-2022,2021-2022-00432,1,1,1,1
2021-2022,2021-2022-00433,2,1,1,2
2021-2022,2021-2022-00434,1,1,1,1
2021-2022,2021-2022-00436,1,1,1,1
2021-2022,2021-2022-00437,1,1,1,1
2021-2022,2021-2022-00438,1,1,1,1
2021-2022,2021-2022-00439,2,3,3,3
2021-2022,2021-2022-00440,1,1,1,1
2021-2022,2021-2022-00441,1,1,1,1
2021-2022,2021-2022-00443,1,1,1,1
2021-2022,2021-2022-00447,1,1,1,1
2021-2022,2021-2022-00448,1,1,1,1
2021-2022,2021-2022-00449,1,1,1,1
2021-2022,2021-2022-00453,1,1,1,1
2021-2022,2021-2022-00454,1,1,1,1
2021-2022,2021-2022-00455,1,1,1,1
2021-2022,2021-2022-00457,1,1,1,1
2021-2022,2021-2022-00459,1,1,1,1
2021-2022,2021-2022-00460,1,1,1,1
2021-2022,2021-2022-00461,1,1,1,1
2021-2022,2021-2022-00462,1,1,1,1
2021-2022,2021-2022-00467,1,1,1,1
2021-2022,2021-2022-00468,1,1,1,1
2021-2022,2021-2022-00470,1,1,1,1
2021-2022,2021-2022-00474,1,1,1,1
2021-2022,2021-2022-00475,1,1,1,1
2021-2022,2021-2022-00476,1,1,1,1
2021-2022,2021-2022-00479,1,1,1,1
2021-2022,2021-2022-00484,1,1,1,1
2021-2022,2021-2022-00485,1,1,1,1
2021-2022,2021-2022-00486,1,1,1,1
2021-2022,2021-2022-00490,1,1,1,1
2021-2022,2021-2022-00491,1,1,1,1
2021-2022,2021-2022-00493,1,1,1,1
2021-2022,2021-2022-00494,1,1,1,1
2021-2022,2021-2022-00496,1,1,1,1
2021-2022,2021-2022-00497,1,1,1,1
2021-2022,2021-2022-00499,1,3,1,3
2021-2022,2021-2022-00500,1,1,1,1
2021-2022,2021-2022-00504,1,1,1,1
2021-2022,2021-2022-00505,1,1,1,1
2021-2022,2021-2022-00506,1,1,1,1
2021-2022,2021-2022-00507,1,1,1,1
2021-2022,2021-2022-00508,1,1,1,1
2021-2022,2021-2022-00514,1,1,1,1
2021-2022,2021-2022-00516,2,1,1,2
2021-2022,2021-2022-00517,3,3,1,3
2021-2022,2021-2022-00518,1,1,1,1
2021-2022,2021-2022-00522,1,1,1,1
2021-2022,2021-2022-00523,1,1,1,1
2021-2022,2021-2022-00525,1,1,1,1
2021-2022,2021-2022-00526,1,1,1,1
2021-2022,2021-2022-00527,1,1,2,2
2021-2022,2021-2022-00530,1,1,1,1
2021-2022,2021-2022-00531,1,1,1,1
2021-2022,2021-2022-00533,1,1,1,1
2021-2022,2021-2022-00536,1,1,2,2
2021-2022,2021-2022-00537,1,1,1,1
2021-2022,2021-2022-00538,2,1,1,2
2021-2022,2021-2022-00542,2,1,1,2
2021-2022,2021-2022-00543,1,1,1,1
2021-2022,2021-2022-00549,1,1,1,1
2021-2022,2021-2022-00556,1,1,1,1
